code,funding,fundpop,fundeq,fundpov,fundter,pop,popurb,cases,shp2,dep,mun,area,party,trfpop,dens,infpop,quintile,grp,agr
0806,597278.28,320309.921394892,182919.8454961832,81503.7787285637,12544.72009502248,9252,33.7,37,110,La Paz,San Pedro Nonualco,27.54,ARENA,64.55666666666667,0.3359477124183007,3.99913532209252,3,2,3
0807,482794.5,210120.5945014635,182919.8454961832,71287.72411804809,18466.34213697209,7387,36,30,102,La Paz,San Francisco Chinameca,40.54,ARENA,65.35731690808177,0.18221509620128268,4.061188574522811,2,2,3
0808,482459.71,231825.5840159212,182919.8454961832,49157.236529025,18557.444476079,7707,58.9,42,104,La Paz,San Juan Talpa,40.74,ARENA,62.60019592578176,0.18917525773195876,5.449591280653951,2,2,3
0809,621160.91,332775.856718532,182919.8454961832,84675.7773089861,20789.43178419847,16784,55.9,63,95,La Paz,El Rosario,10.61,GANA,37.00911046234509,1.5819038642789822,3.7535748331744516,3,2,3
0810,576113.46,309440.447052753,182919.8454961832,78738.0091216559,5015.15076783578,9820,52.1,72,111,La Paz,San Rafael Obrajuelo,11.01,GANA,58.66735845213849,0.8919164396003634,7.3319755600814664,3,2,3
0811,443233.43,192253.8911765735,182919.8454961832,57072.8172008783,10986.8760962942,5990,25.9,27,112,La Paz,Santa María Ostuma,24.12,ARENA,73.99556427378965,0.24834162520729683,4.507512520868113,2,2,3
0812,839442.47,471089.956222243,182919.8454961832,155387.2902589284,30045.3834374612,21675,61,198,107,La Paz,San Luis Talpa,65.96,GANA,38.7286029988466,0.32860824742268047,9.134948096885815,4,3,2
0813,368495.44999999995,137464.930258232,182919.8454961832,34978.349059861896,13132.32318226209,4258,25.9,23,100,La Paz,San Antonio Masahuat,28.83,FMLN,86.54190934711131,0.1476933749566424,5.401596993893847,1,2,3
0814,407893.06999999995,157233.7870929962,182919.8454961832,46676.6853503296,21062.73880151922,5084,50.5,21,108,La Paz,San Miguel Tepezontes,46.24,ARENA,80.23073760818252,0.10994809688581314,4.1306058221872535,2,2,3
0815,320489.58999999997,103158.13874085751,182919.8454961832,26248.8868630592,8162.72358397977,3630,36.4,21,105,La Paz,San Juan Tepezontes,17.92,ARENA,88.2891432506887,0.20256696428571427,5.785123966942148,1,2,3
0816,348549.15,122689.23138688749,182919.8454961832,36421.7341359669,6518.33936309992,3809,19.3,10,114,La Paz,Tapalhuaca,14.31,FMLN,91.50673405093201,0.26617749825296994,2.625360987135731,1,4,4
0817,357942.82,141167.3397685229,182919.8454961832,29933.699183095698,3921.9326985527805,5590,60.2,47,94,La Paz,Cuyultitán,8.61,ARENA,64.03270483005367,0.6492450638792103,8.407871198568872,1,2,3
0818,311179.63,99625.5550796625,182919.8454961832,25350.01424081414,3284.21632480436,2727,64.2,14,99,La Paz,Paraíso de Osorio,7.21,ARENA,114.11060872753943,0.3782246879334258,5.133846718005134,1,4,4
0819,305886.15,91337.577643782,182919.8454961832,27114.6271931381,4514.09790274774,2818,48.7,3,101,La Paz,San Emigdio,9.91,ARENA,108.5472498225692,0.2843592330978809,1.0645848119233499,1,4,4
